btc	19754437
eth	120337372.47709365
usdt	118810537791.35384
bnb	145934040.78885713
sol	468229743.83950096
usdc	35739743279.05928
xrp	56386022594
doge	145966486383.70523
ton	2532048734.869419
trx	86696541441.35559
ada	35960643044.11
avax	405809797.59086365
shib	589269543623759
link	608099970.4527867
dot	1493500465.4544973
bch	19761118.75
leo	925464157.9
dai	5365382702.664872
ltc	74976962.3566697
near	1129805372
kas	24696407042.28451
uni	600210149.71
icp	470388223.5507371
fet	2520000000
pepe	420689899999994.8
xmr	18446744.07370955
apt	499397540.0209632
sui	2679963749.6338882
xlm	29611809703.12088
pol	7114493046.092735
etc	148749102.881954
render	517460631.4554916
fdusd	2515962448.15
tao	7380936
stx	1489282846.97712
okb	60000000
aave	14931190.46740221
cro	26571560696
imx	1605299431.3898141
fil	586026549
inj	97697779.71
hbar	36962615185.19716
mnt	3266841707.8368406
arb	3496129217
op	1187596466
vet	80985041177
atom	390934204
wif	998845518.73882
mkr	933298.18329673
grt	9548531509.165474
ftm	2803634835.5265927
rune	335478801
theta	1000000000
bgb	1400000000
ar	65652466
bonk	70388284059385.45
matic	3141777425.6532955
floki	9585230472114.086
hnt	160875441.82421333
sei	3524861111
algo	8249106009.100041
pyth	3624988789.796427
tia	210961335.968929
jup	1350000000
jasmy	49299999677.16958
kcs	117906971.28847675
bsv	19756887.5
om	842499555.2322589
ldo	895272836.9307083
qnt	12072738
ondo	1389759838.4783604
core	909784203.3720679
flow	1531769082.2638774
btt	968246428571000
brett	9910236395
not	102474423008.2429
pyusd	772083882.505807
ckb	44940248703.84936
eos	1514795200.5458
beamx	49466004168
flr	48284570484.39712
gt	90988227.68454354
usdd	733215351.9886034
egld	27320077.22193387
strk	1779797783
axs	149627450.48612967
popcat	979973184.6
wld	439890589.3169565
neo	70538831
ordi	21000000
xtz	1000402280.880347
gala	34644663610.648506
xaut	246524
1000sats	2100000000000
akt	248285794.661141
xec	19757239048090
cfx	4430596651.58
sand	2336232126.2233224
dydx	635816439.696346
ens	33062603.39651492
nexo	560000011
dogs	516750000000
bnx	373707239.00685924
w	2577873594
pendle	158401929.2057498
